 #time susceptible infected recover
          68      267921     1484326       85342
          69      259129     1453004      109795
          70      251284     1408740      139772
          71      244455     1349942      176000
          72      238312     1277314      218457
          73      232450     1194498      265727
          74      226855     1104178      316482
          75      220869     1012410      368352
          76      214443      926854      417556
          77      207551      849608      463071
          78      200385      783864      503109
          79      192958      728014      538461
          80      185465      679338      570292
          81      177961      636258      599336
          82      170352      597150      626499
          83      162608      562580      651528
          84      154493      531780      675043
          85      146154      504628      696958
          86      137633      481226      717180
          87      129612      459132      736248
          88      122466      437650      754135
          89      116641      415510      771030
          90      112295      393714      786274
          91      109343      372450      799858
          92      107478      351940      811978
          93      106450      332824      822564
          94      105914      315122      831951
          95      105670      298980      840266
          96      105558      284818      847459
          97      105514      271740      854042
          98      105502      259772      860038
          99      105496      248250      865805
         100      105496      236846      871507
         101      105496      224442      877709
         102      105496      211088      884386
         103      105496      196744      891558
         104      105496      182200      898830
         105      105496      167288      906286
         106      105496      152630      913615
         107      105496      137190      921335
         108      105496      121584      929138
         109      105496      105908      936976
         110      105496       89390      945235
         111      105496       72440      953710
         112      105496       55790      962035
         113      105496       40828      969516
         114      105496       27886      975987
         115      105496       17718      981071
         116      105496       10558      984651
         117      105496        5786      987037
         118      105496        2968      988446
         119      105496        1406      989227
         120      105496         618      989621
         121      105496         236      989812
         122      105496          84      989888
         123      105496          26      989917
         124      105496           8      989926
         125      105496           4      989928
         126      105496           0      989930
           1     1095425           2           0
           2     1095425           2           0
           3     1095425           2           0
           4     1095425           2           0
           5     1095425           2           0
           6     1095425           2           0
           7     1095422           8           0
           8     1095420          12           0
           9     1095419          14           0
          10     1095418          16           0
          11     1095415          22           0
          12     1095414          24           0
          13     1095409          34           0
          14     1095399          54           0
          15     1095389          74           0
          16     1095383          86           0
          17     1095370         112           0
          18     1095347         158           0
          19     1095329         194           0
          20     1095292         268           0
          21     1095240         372           0
          22     1095181         490           0
          23     1095121         610           0
          24     1095009         834           0
          25     1094865        1122           0
          26     1094668        1514           1
          27     1094399        2052           1
          28     1094065        2720           1
          29     1093647        3556           1
          30     1093084        4682           1
