time average_recover sd_R av_Infected sd_I
 122 988165.90000000002 857.26523896715082 443.50000000000000 878.35064182819383 
 123 988316.19999999995 559.39302825347556 293.69999999999999 581.83692732586167 
 124 988425.90000000002 343.47385623507387 184.50000000000000 366.64485541188219 
 125 988490.80000000005 209.96323443511039 119.59999999999999 232.48492424241189 
 126 988532.00000000000 129.66572388712399 78.400000000000006 151.21917867783833 
 127 988557.19999999995 83.346026051598585 53.200000000000003 102.68378645141598 
 128 988576.30000000005 50.131925565825817 34.200000000000003 66.372886030366345 
 129 988589.00000000000 34.011763388982423 21.500000000000000 42.732306279909587 
 130 988596.30000000005 28.934580711278677 14.199999999999999 28.067062546693410 
 131 988601.40000000002 29.100514872082805 9.0999999999999996 18.721378154398785 
 132 988605.09999999998 30.927172360795854 5.4000000000000004 11.926441212700460 
 133 988607.00000000000 32.425299141473815 3.5000000000000000 8.5234969349440135 
 134 988608.09999999998 33.951289570155687 2.3999999999999999 5.9025418253494824 
 135 988608.80000000005 34.680828820766564 1.7000000000000000 4.4732538492690077 
 136 988609.00000000000 35.014282800023196 1.5000000000000000 3.8794329482541645 
 137 988609.69999999995 36.235479985307563 0.80000000000000004 1.8330302779823360 
 138 988610.19999999995 36.967013114312465 0.29999999999999999 0.90000000000000002 
 139 988610.40000000002 37.336843961323076 0.10000000000000001 0.29999999999999999 
 140 988610.40000000002 37.336843961323076 0.10000000000000001 0.29999999999999999 
 141 988610.40000000002 37.336843961323076 0.10000000000000001 0.29999999999999999 
 142 988610.40000000002 37.336843961323076 0.10000000000000001 0.29999999999999999 
 143 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 144 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 145 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 146 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 147 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 148 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 149 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 150 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 151 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 152 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 153 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 154 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 155 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 156 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 157 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 158 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 159 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 160 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 161 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 162 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 163 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 164 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 165 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 166 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 167 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 168 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 169 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 170 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 171 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 172 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 173 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
 174 988610.50000000000 37.523992975536665 0.0000000000000000 0.0000000000000000 
